,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
0,"Abdelnaby, Alaa",1990,Y,76001,HISTADD_alaa_abdelnaby,0,,,,0,,1994
1,"Abdul-Aziz, Zaid",1968,Y,76002,HISTADD_zaid_abdul-aziz,0,,,,0,,1977
2,"Abdul-Jabbar, Kareem",1969,Y,76003,HISTADD_kareem_abdul-jabbar,0,,,,0,,1988
3,"Abdul-Rauf, Mahmoud",1990,Y,51,HISTADD_mahmoud_abdul-rauf,0,,,,0,,2000
4,"Abdul-Wahad, Tariq",1997,Y,1505,tariq_abdul-wahad,0,,,,0,,2003
5,"Abdur-Rahim, Shareef",1996,Y,949,shareef_abdur-rahim,0,,,,0,,2007
6,"Abernethy, Tom",1976,Y,76005,HISTADD_tom_abernethy,0,,,,0,,1980
7,"Able, Forest",1956,Y,76006,HISTADD_frosty_able,0,,,,0,,1956
8,"Abramovic, John",1946,Y,76007,HISTADD_brooms_abramovic,0,,,,0,,1947
9,"Acker, Alex",2005,Y,101165,alex_acker,0,,,,0,,2008
10,"Ackerman, Donald",1953,Y,76008,HISTADD_buddy_ackerman,0,,,,0,,1953
11,"Acres, Mark",1987,Y,76009,HISTADD_mark_acres,0,,,,0,,1992
12,"Acton, Charles",1967,Y,76010,HISTADD_bud_acton,0,,,,0,,1967
13,"Acy, Quincy",2012,Y,203112,quincy_acy,1,SAC,Sacramento,kings,1610612758,Kings,2015
14,"Adams, Alvan",1975,Y,76011,HISTADD_alvan_adams,0,,,,0,,1987
15,"Adams, Don",1970,Y,76012,HISTADD_don_adams,0,,,,0,,1976
16,"Adams, Hassan",2006,Y,200801,hassan_adams,0,,,,0,,2008
17,"Adams, Jordan",2014,Y,203919,jordan_adams,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
18,"Adams, Michael",1985,Y,149,HISTADD_michael_adams,0,,,,0,,1995
19,"Adams, Steven",2013,Y,203500,steven_adams,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
20,"Addison, Rafael",1986,Y,912,HISTADD_rafael_addison,0,,,,0,,1996
21,"Adelman, Rick",1968,Y,76015,HISTADD_rick_adelman,0,,,,0,,1974
22,"Adrien, Jeff",2010,Y,202399,jeff_adrien,0,,,,0,,2014
23,"Afflalo, Arron",2007,Y,201167,arron_afflalo,1,NYK,New York,knicks,1610612752,Knicks,2015
24,"Ager, Maurice",2006,Y,200772,maurice_ager,0,,,,0,,2010
25,"Aguirre, Mark",1981,Y,76016,HISTADD_mark_aguirre,0,,,,0,,1993
26,"Ahearn, Blake",2007,Y,201336,blake_ahearn,0,,,,0,,2011
27,"Ainge, Danny",1981,Y,76017,HISTADD_danny_ainge,0,,,,0,,1994
28,"Ajinca, Alexis",2008,Y,201582,alexis_ajinca,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
29,"Akin, Henry",1966,Y,76018,HISTADD_henry_akin,0,,,,0,,1967
30,"Akognon, Josh",2012,Y,203006,josh_akognon,0,,,,0,,2012
31,"Alabi, Solomon",2010,Y,202374,solomon_alabi,0,,,,0,,2011
32,"Alarie, Mark",1986,Y,76019,HISTADD_mark_alarie,0,,,,0,,1990
33,"Alcorn, Gary",1959,Y,76020,HISTADD_gary_alcorn,0,,,,0,,1960
34,"Aldemir, Furkan",2014,Y,203128,furkan_aldemir,0,,,,0,,2014
35,"Aldrich, Cole",2010,Y,202332,cole_aldrich,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
36,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
37,"Aleksinas, Chuck",1984,Y,76021,HISTADD_chuck_aleksinas,0,,,,0,,1984
38,"Alexander, Cliff",2015,Y,1626146,cliff_alexander,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
39,"Alexander, Cory",1995,Y,724,cory_alexander,0,,,,0,,2004
40,"Alexander, Courtney",2000,Y,2042,courtney_alexander,0,,,,0,,2003
41,"Alexander, Gary",1993,Y,76022,HISTADD_gary_alexander,0,,,,0,,1993
42,"Alexander, Joe",2008,Y,201570,joe_alexander,0,,,,0,,2009
43,"Alexander, Victor",1991,Y,2349,HISTADD_victor_alexander,0,,,,0,,2001
44,"Alford, Steve",1987,Y,76024,HISTADD_steve_alford,0,,,,0,,1990
45,"Allen, Bob",1968,Y,76028,HISTADD_bob_allen,0,,,,0,,1968
46,"Allen, Jerome",1995,Y,706,HISTADD_jerome_allen,0,,,,0,,1996
47,"Allen, Lavoy",2011,Y,202730,lavoy_allen,1,IND,Indiana,pacers,1610612754,Pacers,2015
48,"Allen, Lucius",1969,Y,76027,HISTADD_lucius_allen,0,,,,0,,1978
49,"Allen, Malik",2001,Y,2124,malik_allen,0,,,,0,,2010
50,"Allen, Randy",1988,Y,76025,HISTADD_randy_allen,0,,,,0,,1989
51,"Allen, Ray",1996,Y,951,ray_allen,0,,,,0,,2013
52,"Allen, Tony",2004,Y,2754,tony_allen,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
53,"Allison, Odis",1971,Y,76029,HISTADD_odis_allison,0,,,,0,,1971
54,"Allred, Lance",2007,Y,200984,lance_allred,0,,,,0,,2007
55,"Allums, Darrell",1980,Y,76030,HISTADD_darrell_allums,0,,,,0,,1980
56,"Almond, Morris",2007,Y,201165,morris_almond,0,,,,0,,2011
57,"Alston, Derrick",1994,Y,308,HISTADD_derrick_alston,0,,,,0,,1996
58,"Alston, Rafer",1999,Y,1747,rafer_alston,0,,,,0,,2009
